iter	Passed	Remaining
0	2	2475
1	4	2441
2	7	2494
3	9	2480
4	12	2455
5	15	2490
6	17	2505
7	20	2492
8	22	2486
9	25	2527
10	28	2524
11	30	2516
12	33	2514
13	35	2506
14	38	2496
15	40	2507
16	43	2513
17	45	2506
18	48	2500
19	50	2494
20	53	2487
21	58	2582
22	63	2679
23	66	2719
24	69	2724
25	73	2757
26	78	2821
27	82	2850
28	85	2857
29	89	2901
30	92	2887
31	94	2870
32	97	2869
33	100	2854
34	103	2842
35	105	2832
36	108	2821
37	111	2815
38	114	2825
39	117	2823
40	123	2878
41	125	2864
42	128	2850
43	130	2837
44	133	2826
45	135	2815
46	139	2819
47	141	2811
48	144	2800
49	146	2788
50	149	2777
51	151	2767
52	154	2760
53	157	2752
54	159	2742
55	162	2732
56	164	2723
57	167	2713
58	169	2704
59	172	2696
60	174	2688
61	177	2681
62	179	2673
63	182	2664
64	184	2659
65	187	2652
66	190	2646
67	192	2637
68	194	2630
69	197	2623
70	200	2618
71	202	2613
72	205	2609
73	207	2602
74	210	2596
75	213	2590
76	215	2586
77	218	2587
78	221	2586
79	226	2601
80	228	2596
81	231	2590
82	233	2585
83	237	2585
84	239	2582
85	242	2576
86	245	2572
87	247	2570
88	250	2566
89	254	2575
90	257	2570
91	259	2565
92	262	2557
93	264	2552
94	267	2547
95	269	2540
96	272	2537
97	275	2537
98	278	2532
99	280	2528
100	283	2522
101	286	2520
102	288	2514
103	291	2509
104	293	2503
105	296	2498
106	298	2493
107	301	2489
108	303	2484
109	306	2479
110	308	2473
111	314	2490
112	316	2486
113	319	2481
114	321	2475
115	324	2470
116	326	2465
117	329	2461
118	332	2458
119	334	2453
120	337	2451
121	340	2448
122	342	2444
123	345	2443
124	350	2450
125	352	2447
126	355	2444
127	358	2440
128	361	2438
129	363	2434
130	366	2430
131	369	2426
132	371	2422
133	374	2418
134	377	2416
135	379	2412
136	382	2407
137	384	2403
138	387	2399
139	389	2394
140	392	2389
141	394	2386
142	397	2381
143	399	2376
144	402	2372
145	404	2368
146	407	2364
147	410	2363
148	413	2359
149	415	2354
150	418	2351
151	420	2347
152	422	2341
153	425	2335
154	427	2329
155	430	2326
156	433	2326
157	435	2322
158	438	2318
159	441	2316
160	444	2314
161	446	2310
162	448	2304
163	451	2301
164	454	2297
165	456	2293
166	459	2289
167	461	2286
168	464	2282
169	466	2278
170	469	2275
171	472	2273
172	475	2272
173	481	2283
174	487	2298
175	489	2293
176	492	2289
177	495	2287
178	498	2285
179	500	2280
180	503	2278
181	506	2274
182	508	2271
183	511	2267
184	513	2263
185	515	2257
186	517	2248
187	519	2244
188	522	2240
189	524	2237
190	527	2232
191	529	2226
192	531	2223
193	534	2220
194	537	2218
195	540	2216
196	543	2216
197	546	2212
198	548	2209
199	551	2204
200	553	2199
201	555	2194
202	557	2190
203	560	2186
204	562	2182
205	564	2177
206	567	2174
207	570	2171
208	572	2166
209	574	2162
210	577	2159
211	579	2155
212	582	2150
213	584	2146
214	586	2142
215	589	2139
216	591	2134
217	593	2129
218	595	2124
219	598	2120
220	600	2115
221	603	2115
222	606	2113
223	609	2110
224	612	2109
225	614	2106
226	617	2102
227	619	2098
228	622	2094
229	624	2091
230	627	2088
231	629	2085
232	632	2082
233	634	2077
234	636	2073
235	639	2069
236	641	2066
237	643	2061
238	646	2058
239	649	2055
240	651	2051
241	654	2049
242	656	2045
243	658	2041
244	660	2036
245	663	2033
246	665	2029
247	668	2026
248	671	2023
249	675	2025
250	677	2022
251	680	2018
252	682	2015
253	685	2012
254	687	2008
255	689	2004
256	692	2000
257	694	1996
258	696	1993
259	699	1990
260	701	1987
261	703	1981
262	705	1977
263	708	1974
264	710	1970
265	713	1967
266	715	1964
267	718	1961
268	720	1957
269	722	1953
270	724	1949
271	726	1945
272	728	1939
273	730	1936
274	733	1932
275	735	1928
276	737	1924
277	739	1921
278	742	1917
279	744	1914
280	746	1911
281	749	1909
282	752	1907
283	755	1904
284	757	1901
285	760	1899
286	763	1896
287	765	1893
288	768	1889
289	770	1886
290	772	1883
291	775	1879
292	777	1876
293	779	1873
294	782	1870
295	785	1867
296	787	1864
297	790	1861
298	792	1857
299	795	1856
300	797	1852
301	800	1849
302	802	1845
303	804	1841
304	806	1838
305	809	1834
306	811	1831
307	813	1827
308	815	1823
309	817	1820
310	820	1817
311	822	1813
312	825	1811
313	827	1807
314	828	1802
315	831	1798
316	833	1795
317	836	1792
318	838	1790
319	841	1787
320	843	1784
321	846	1781
322	848	1777
323	850	1774
324	852	1770
325	854	1766
326	856	1763
327	859	1760
328	861	1757
329	864	1754
330	866	1751
331	869	1749
332	872	1746
333	874	1744
334	877	1740
335	879	1737
336	881	1734
337	884	1732
338	887	1730
339	890	1728
340	894	1728
341	896	1725
342	899	1722
343	901	1719
344	904	1717
345	907	1714
346	909	1711
347	911	1707
348	913	1704
349	916	1701
350	919	1699
351	922	1697
352	925	1696
353	927	1693
354	930	1690
355	933	1689
356	936	1686
357	941	1687
358	943	1684
359	945	1681
360	948	1678
361	950	1674
362	952	1671
363	954	1668
364	957	1665
365	959	1662
366	961	1658
367	963	1655
368	966	1652
369	968	1649
370	971	1646
371	973	1643
372	975	1639
373	977	1636
374	980	1633
375	982	1630
376	984	1627
377	987	1624
378	989	1621
379	991	1618
380	993	1614
381	996	1611
382	998	1608
383	1000	1605
384	1002	1601
385	1005	1598
386	1007	1595
387	1009	1592
388	1011	1589
389	1014	1587
390	1020	1588
391	1022	1586
392	1024	1582
393	1027	1579
394	1029	1576
395	1031	1573
396	1033	1570
397	1036	1567
398	1039	1565
399	1041	1562
400	1043	1559
401	1045	1555
402	1048	1553
403	1049	1548
404	1052	1545
405	1054	1542
406	1056	1539
407	1059	1536
408	1061	1533
409	1064	1531
410	1066	1528
411	1068	1525
412	1071	1522
413	1073	1519
414	1075	1516
415	1078	1513
416	1080	1510
417	1083	1509
418	1086	1506
419	1088	1502
420	1090	1499
421	1092	1497
422	1095	1494
423	1097	1491
424	1099	1488
425	1102	1484
426	1104	1481
427	1106	1478
428	1108	1475
429	1110	1472
430	1113	1469
431	1115	1466
432	1117	1463
433	1120	1460
434	1122	1457
435	1124	1455
436	1127	1452
437	1129	1449
438	1131	1446
439	1134	1443
440	1136	1440
441	1138	1437
442	1141	1434
443	1144	1433
444	1147	1430
445	1149	1427
446	1152	1425
447	1154	1422
448	1156	1419
449	1158	1416
450	1161	1413
451	1163	1410
452	1165	1407
453	1168	1405
454	1171	1402
455	1173	1399
456	1176	1397
457	1178	1395
458	1181	1392
459	1183	1389
460	1185	1386
461	1188	1383
462	1190	1380
463	1192	1377
464	1195	1375
465	1197	1372
466	1200	1369
467	1202	1366
468	1204	1363
469	1207	1362
470	1210	1360
471	1213	1357
472	1215	1354
473	1217	1351
474	1219	1348
475	1221	1345
476	1224	1342
477	1226	1339
478	1228	1336
479	1231	1334
480	1233	1331
481	1235	1328
482	1238	1325
483	1240	1322
484	1242	1319
485	1244	1316
486	1247	1314
487	1249	1311
488	1252	1308
489	1254	1305
490	1256	1302
491	1259	1300
492	1261	1297
493	1264	1294
494	1266	1291
495	1268	1288
496	1270	1286
497	1273	1283
