iter	Passed	Remaining
0	2	2547
1	5	2671
2	8	2935
3	11	2965
4	16	3219
5	19	3217
6	22	3140
7	25	3123
8	28	3102
9	31	3125
10	34	3123
11	37	3087
12	40	3046
13	42	3001
14	45	2968
15	49	3023
16	52	3036
17	59	3250
18	66	3434
19	75	3692
20	90	4220
21	93	4172
22	96	4096
23	98	4025
24	101	3973
25	104	3922
26	108	3897
27	111	3859
28	113	3799
29	115	3747
30	118	3712
31	121	3679
32	124	3651
33	127	3627
34	130	3586
35	132	3552
36	135	3532
37	138	3498
38	140	3471
39	143	3455
40	146	3432
41	149	3401
42	151	3380
43	154	3353
44	158	3368
45	161	3345
46	163	3320
47	165	3291
48	168	3267
49	170	3245
50	172	3218
51	175	3202
52	177	3179
53	180	3161
54	182	3139
55	185	3129
56	188	3121
57	191	3113
58	194	3096
59	197	3088
60	200	3085
61	203	3072
62	205	3060
63	210	3080
64	213	3073
65	217	3071
66	223	3108
67	227	3121
68	231	3118
69	233	3103
70	236	3089
71	239	3088
72	242	3076
73	245	3072
74	248	3060
75	251	3054
76	253	3041
77	257	3046
78	260	3040
79	263	3035
80	266	3026
81	269	3018
82	272	3006
83	274	2998
84	279	3009
85	282	3000
86	287	3015
87	290	3005
88	292	2991
89	294	2978
90	296	2966
91	299	2952
92	301	2944
93	304	2931
94	306	2919
95	308	2907
96	311	2896
97	313	2887
98	316	2877
99	319	2875
100	321	2865
101	324	2857
102	326	2847
103	330	2844
104	332	2835
105	335	2831
106	338	2822
107	340	2810
108	342	2801
109	345	2792
110	349	2801
111	352	2792
112	354	2783
113	356	2773
114	359	2763
115	361	2753
116	363	2742
117	365	2733
118	368	2724
119	370	2715
120	372	2705
121	374	2695
122	376	2687
123	379	2678
124	381	2670
125	383	2662
126	386	2655
127	388	2648
128	391	2640
129	393	2631
130	395	2622
131	397	2614
132	400	2609
133	402	2601
134	404	2594
135	407	2588
136	410	2582
137	413	2585
138	416	2579
139	419	2574
140	421	2566
141	423	2558
142	425	2550
143	427	2543
144	430	2536
145	432	2529
146	434	2522
147	436	2514
148	439	2507
149	441	2500
150	444	2496
151	446	2491
152	448	2485
153	451	2479
154	453	2472
155	456	2468
156	458	2462
157	461	2459
158	464	2455
159	466	2451
160	469	2447
161	472	2443
162	474	2437
163	477	2434
164	481	2436
165	484	2431
166	486	2425
167	488	2419
168	490	2413
169	493	2407
170	495	2401
171	497	2394
172	499	2387
173	501	2381
174	503	2375
175	506	2372
176	509	2369
177	512	2365
178	514	2359
179	516	2353
180	519	2348
181	521	2344
182	523	2338
183	526	2333
184	528	2328
185	530	2322
186	532	2317
187	535	2311
188	537	2307
189	540	2305
190	543	2302
191	545	2297
192	548	2291
193	550	2288
194	553	2283
195	555	2277
196	557	2271
197	559	2265
198	561	2260
199	563	2254
200	565	2249
201	568	2244
202	570	2239
203	573	2237
204	575	2233
205	577	2227
206	580	2223
207	582	2218
208	584	2213
209	587	2208
210	589	2203
211	591	2200
212	594	2195
213	596	2191
214	599	2188
215	602	2185
216	605	2184
217	607	2180
218	610	2176
219	612	2171
220	614	2166
221	616	2162
222	618	2156
223	620	2151
224	623	2146
225	625	2141
226	627	2136
227	629	2132
228	632	2128
229	634	2124
230	636	2120
231	639	2116
232	641	2111
233	643	2107
234	646	2103
235	648	2099
236	650	2094
237	652	2090
238	655	2086
239	657	2082
240	659	2078
241	662	2074
242	664	2069
243	666	2066
244	669	2062
245	671	2058
246	673	2053
247	675	2049
248	678	2044
249	680	2040
250	682	2035
251	684	2032
252	686	2027
253	688	2023
254	691	2019
255	693	2014
256	695	2010
